"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2023-06-15","Atlas Lithium Corporation Comm","ATLX","SC","174701","269317","-94616","-35.13","129713","1.35",
"2023-05-31","Atlas Lithium Corporation Comm","ATLX","SC","269317","302258","-32941","-10.9","185730","1.45",
"2023-05-15","Atlas Lithium Corporation Comm","ATLX","SC","302258","437865","-135607","-30.97","885434","1",
"2023-04-28","Atlas Lithium Corporation Comm","ATLX","SC","437865","312209","125656","40.25","293249","1.49",
"2023-04-14","Atlas Lithium Corporation Comm","ATLX","SC","312209","272235","39974","14.68","187807","1.66",
"2023-03-31","Atlas Lithium Corporation Comm","ATLX","SC","272235","263502","8733","3.31","103823","2.62",
"2023-03-15","Atlas Lithium Corporation Comm","ATLX","SC","263502","306242","-42740","-13.96","300781","1",
"2023-02-28","Atlas Lithium Corporation Comm","ATLX","SC","306242","69882","236360","338.23","1829029","1",
"2023-02-15","Atlas Lithium Corporation Comm","ATLX","SC","69882","75023","-5141","-6.85","63005","1.11",
"2023-01-31","Atlas Lithium Corporation Comm","ATLX","SC","75023","54076","20947","38.74","577904","1",
"2023-01-13","Atlas Lithium Corporation Comm","ATLX","SC","54076","11201","42875","382.78","195477","1",
"2022-12-15","Atlas Lithium Corporation Comm","ATLX","OTC","8479533","7911257","568276","7.18","21672978","1",
"2022-11-30","Atlas Lithium Corporation Comm","ATLX","OTC","7911257","7810180","101077","1.29","33988995","1",
"2022-11-15","Atlas Lithium Corporation Comm","ATLX","OTC","7810180","3998162","3812018","95.34","64874842","1",
"2022-10-31","Atlas Lithium Corporation Comm","ATLX","OTC","3998162","2159212","1838950","85.17","28672066","1",
"2022-10-14","Atlas Lithium Corporation Comm","ATLX","OTC","2159212","2166270","-7058","-0.33","12780626","1",
