stock_id,date,dividend_cash_amount,price,volume,return_daily,cumulative_price_adjustment_factor,number_of_trades_daily,SP_composite_return_daily
86580,2017-12-29,,193.5,6999116,-0.019757,40,49857.0,-0.005183
86580,2018-01-02,,199.35001,8890417,0.030233,40,67011.0,0.008303
86580,2018-01-03,,212.47,22868175,0.065814,40,162547.0,0.006399
86580,2018-01-04,,213.59,14581867,0.005271,40,112885.0,0.004029
86580,2018-01-05,,215.39999,14503113,0.008474,40,105624.0,0.007034
86580,2018-01-08,,222.0,22032519,0.030641,40,161533.0,0.001662
86580,2018-01-09,,221.94,12424995,-0.00027,40,95426.0,0.001303
86580,2018-01-10,,223.67999,14566626,0.00784,40,105537.0,-0.001112
86580,2018-01-11,,224.08,10150767,0.001788,40,81313.0,0.007034
86580,2018-01-12,,222.98,8997902,-0.004909,40,74613.0,0.00675
86580,2018-01-16,,220.11,17558687,-0.012871,40,138083.0,-0.003524
86580,2018-01-17,,224.72,13460210,0.020944,40,103055.0,0.009415
86580,2018-01-18,,224.44,10223041,-0.001246,40,77428.0,-0.001616
86580,2018-01-19,,230.11,15241335,0.025263,40,108760.0,0.004385
86580,2018-01-22,,233.69,13773503,0.015558,40,80670.0,0.008067
86580,2018-01-23,,238.91,11881397,0.022337,40,92724.0,0.002174
86580,2018-01-24,,235.8,14497672,-0.013017,40,107770.0,-0.00056
86580,2018-01-25,,236.35001,10247083,0.002332,40,83583.0,0.000603
86580,2018-01-26,,243.33,12908599,0.029532,40,93868.0,0.011841
86580,2018-01-29,,246.85001,11382832,0.014466,40,94680.0,-0.006732
86580,2018-01-30,,242.72,14271098,-0.016731,40,127756.0,-0.010899
86580,2018-01-31,,245.8,11965338,0.01269,40,113733.0,0.000489
86580,2018-02-01,,240.5,12980856,-0.021562,40,124974.0,-0.000648
86580,2018-02-02,,233.52,17963355,-0.029023,40,212590.0,-0.021209
86580,2018-02-05,,213.7,29129489,-0.084875,40,284101.0,-0.040979
86580,2018-02-06,,225.58,26977930,0.055592,40,250815.0,0.017441
86580,2018-02-07,,228.8,20073584,0.014274,40,173786.0,-0.005002
86580,2018-02-08,,217.52,28612922,-0.049301,40,264624.0,-0.037536
86580,2018-02-09,,232.08,41871275,0.066936,40,360447.0,0.014936
86580,2018-02-12,,228.03,27328732,-0.017451,40,222976.0,0.013915
86580,2018-02-13,,232.63,15638098,0.020173,40,142740.0,0.002613
86580,2018-02-14,,241.42,18624749,0.037785,40,166750.0,0.013402
86580,2018-02-15,,246.5,17473015,0.021042,40,153974.0,0.012069
86580,2018-02-16,,243.84,15945390,-0.010791,40,139100.0,0.000373
86580,2018-02-20,,249.08,17155900,0.02149,40,159308.0,-0.005841
86580,2018-02-21,,241.50999,22307344,-0.030392,40,238361.0,-0.005497
86580,2018-02-22,0.15,242.14999,13359833,0.003271,40,135025.0,0.000974
86580,2018-02-23,,245.92999,10382430,0.01561,40,100110.0,0.016028
86580,2018-02-26,,246.58,11732836,0.002643,40,100487.0,0.011757
86580,2018-02-27,,246.06,11385896,-0.002109,40,134982.0,-0.012707
86580,2018-02-28,,242.0,13077875,-0.0165,40,127188.0,-0.011096
86580,2018-03-01,,232.21001,27589548,-0.040455,40,270438.0,-0.013324
86580,2018-03-02,,236.53999,22987161,0.018647,40,237036.0,0.005072
86580,2018-03-05,,235.64999,15519190,-0.003763,40,146534.0,0.011032
86580,2018-03-06,,242.16,15922243,0.027626,40,155112.0,0.002639
86580,2018-03-07,,241.84,14530838,-0.001321,40,122081.0,-0.000484
86580,2018-03-08,,241.17999,10297761,-0.002729,40,87418.0,0.004463
86580,2018-03-09,,245.33,12638148,0.017207,40,117018.0,0.017379
86580,2018-03-12,,249.75999,15126541,0.018057,40,149626.0,-0.001274
86580,2018-03-13,,247.71001,15494309,-0.008208,40,140899.0,-0.006364
86580,2018-03-14,,248.74001,12636761,0.004158,40,109099.0,-0.005724
86580,2018-03-15,,249.34,10049363,0.002412,40,91868.0,-0.000782
86580,2018-03-16,,250.48,9999835,0.004572,40,74915.0,0.001703
86580,2018-03-19,,241.0,17844158,-0.037847,40,184668.0,-0.014204
86580,2018-03-20,,249.58,13867309,0.035602,40,124063.0,0.001482
86580,2018-03-21,,248.56,10967516,-0.004087,40,113681.0,-0.001844
86580,2018-03-22,,241.85001,13778119,-0.026995,40,145173.0,-0.025163
86580,2018-03-23,,232.97,18390461,-0.036717,40,204029.0,-0.020967
86580,2018-03-26,,244.48,15282040,0.049405,40,143166.0,0.027157
86580,2018-03-27,,225.52,35225212,-0.077552,40,357429.0,-0.017276
86580,2018-03-28,,221.35001,23645874,-0.018491,40,223918.0,-0.002917
