stock_id,date,dividend_cash_amount,price,volume,return_daily,cumulative_price_adjustment_factor,number_of_trades_daily,SP_composite_return_daily
93436,2017-12-29,,311.35001,3779955,-0.012716,15,40823.0,-0.005183
93436,2018-01-02,,320.53,4352241,0.029484,15,55168.0,0.008303
93436,2018-01-03,,317.25,4521527,-0.010233,15,54280.0,0.006399
93436,2018-01-04,,314.62,9946304,-0.00829,15,113749.0,0.004029
93436,2018-01-05,,316.57999,4590780,0.00623,15,55747.0,0.007034
93436,2018-01-08,,336.41,9860747,0.062638,15,109281.0,0.001662
93436,2018-01-09,,333.69,7146631,-0.008085,15,90263.0,0.001303
93436,2018-01-10,,334.79999,4324926,0.003326,15,51083.0,-0.001112
93436,2018-01-11,,337.95001,6645484,0.009409,15,75393.0,0.007034
93436,2018-01-12,,336.22,4825059,-0.005119,15,56530.0,0.00675
93436,2018-01-16,,340.06,6474251,0.011421,15,70944.0,-0.003524
93436,2018-01-17,,347.16,7103505,0.020879,15,75842.0,0.009415
93436,2018-01-18,,344.57001,5685845,-0.007461,15,63765.0,-0.001616
93436,2018-01-19,,350.01999,4888303,0.015817,15,50950.0,0.004385
93436,2018-01-22,,351.56,6210360,0.0044,15,65296.0,0.008067
93436,2018-01-23,,352.79001,5465414,0.003499,15,63206.0,0.002174
93436,2018-01-24,,345.89001,5287478,-0.019558,15,64930.0,-0.00056
93436,2018-01-25,,337.64001,6737473,-0.023852,15,73786.0,0.000603
93436,2018-01-26,,342.85001,4562753,0.015431,15,55488.0,0.011841
93436,2018-01-29,,349.53,4747139,0.019484,15,51163.0,-0.006732
93436,2018-01-30,,345.82001,4717700,-0.010614,15,56011.0,-0.010899
93436,2018-01-31,,354.31,6213955,0.02455,15,62212.0,0.000489
93436,2018-02-01,,349.25,4197637,-0.014281,15,50520.0,-0.000648
93436,2018-02-02,,343.75,3704836,-0.015748,15,49102.0,-0.021209
93436,2018-02-05,,333.13,4464097,-0.030895,15,57476.0,-0.040979
93436,2018-02-06,,333.97,5088348,0.002522,15,65745.0,0.017441
93436,2018-02-07,,345.0,6969239,0.033027,15,83666.0,-0.005002
93436,2018-02-08,,315.23001,10314573,-0.08629,15,118784.0,-0.037536
93436,2018-02-09,,310.42001,12933493,-0.015259,15,152209.0,0.014936
93436,2018-02-12,,315.73001,6228992,0.017106,15,72560.0,0.013915
93436,2018-02-13,,323.66,4560231,0.025116,15,55529.0,0.002613
93436,2018-02-14,,322.31,3950620,-0.004171,15,49851.0,0.013402
93436,2018-02-15,,334.065,5912877,0.036471,15,63066.0,0.012069
93436,2018-02-16,,335.48999,5642787,0.004266,15,63609.0,0.000373
93436,2018-02-20,,334.76999,4014417,-0.002146,15,50002.0,-0.005841
93436,2018-02-21,,333.29999,3219649,-0.004391,15,38552.0,-0.005497
93436,2018-02-22,,346.17001,6969808,0.038614,15,86044.0,0.000974
93436,2018-02-23,,352.04999,5817387,0.016986,15,71967.0,0.016028
93436,2018-02-26,,357.42001,4339985,0.015254,15,50174.0,0.011757
93436,2018-02-27,,350.98999,4797419,-0.01799,15,63448.0,-0.012707
93436,2018-02-28,,343.06,6069578,-0.022593,15,64127.0,-0.011096
93436,2018-03-01,,330.92999,6885541,-0.035358,15,78025.0,-0.013324
93436,2018-03-02,,335.12,5092829,0.012661,15,57661.0,0.005072
93436,2018-03-05,,333.35001,3823709,-0.005282,15,46467.0,0.011032
93436,2018-03-06,,328.20001,4285744,-0.015449,15,95920.0,0.002639
93436,2018-03-07,,332.29999,5007297,0.012492,15,56977.0,-0.000484
93436,2018-03-08,,329.10001,3566244,-0.00963,15,43817.0,0.004463
93436,2018-03-09,,327.17001,5506864,-0.005864,15,61079.0,0.017379
93436,2018-03-12,,345.51001,8264035,0.056056,15,92006.0,-0.001274
93436,2018-03-13,,341.84,5963605,-0.010622,15,63832.0,-0.006364
93436,2018-03-14,,326.63,7967070,-0.044494,15,92461.0,-0.005724
93436,2018-03-15,,325.60001,6564743,-0.003153,15,68548.0,-0.000782
93436,2018-03-16,,321.35001,6120879,-0.013053,15,61448.0,0.001703
93436,2018-03-19,,313.56,7484924,-0.024242,15,86689.0,-0.014204
93436,2018-03-20,,310.54999,4764293,-0.009599,15,55015.0,0.001482
93436,2018-03-21,,316.53,5958411,0.019256,15,66226.0,-0.001844
93436,2018-03-22,,309.10001,4939271,-0.023473,15,57056.0,-0.025163
93436,2018-03-23,,301.54001,6653499,-0.024458,15,81745.0,-0.020967
93436,2018-03-26,,304.17999,8373675,0.008755,15,112717.0,0.027157
93436,2018-03-27,,279.17999,13867729,-0.082188,15,171370.0,-0.017276
