stock_id,date,dividend_cash_amount,price,volume,return_daily,cumulative_price_adjustment_factor,number_of_trades_daily,SP_composite_return_daily
14593,2017-12-29,,169.23,26000672,-0.010814,4,145851.0,-0.005183
14593,2018-01-02,,172.25999,25555934,0.017905,4,180641.0,0.008303
14593,2018-01-03,,172.23,29517900,-0.000174,4,190736.0,0.006399
14593,2018-01-04,,173.03,22434597,0.004645,4,155250.0,0.004029
14593,2018-01-05,,175.0,23660018,0.011385,4,154728.0,0.007034
14593,2018-01-08,,174.35001,20567766,-0.003714,4,141685.0,0.001662
14593,2018-01-09,,174.33,21584957,-0.000115,4,155704.0,0.001303
14593,2018-01-10,,174.28999,23970095,-0.000229,4,152851.0,-0.001112
14593,2018-01-11,,175.28,18667729,0.00568,4,119441.0,0.007034
14593,2018-01-12,,177.09,25415580,0.010326,4,154336.0,0.00675
14593,2018-01-16,,176.19,29599936,-0.005082,4,200514.0,-0.003524
14593,2018-01-17,,179.10001,34387136,0.016516,4,220266.0,0.009415
14593,2018-01-18,,179.25999,31193352,0.000893,4,187212.0,-0.001616
14593,2018-01-19,,178.46001,32429767,-0.004463,4,162434.0,0.004385
14593,2018-01-22,,177.0,27109541,-0.008181,4,166078.0,0.008067
14593,2018-01-23,,177.03999,32689142,0.000226,4,213118.0,0.002174
14593,2018-01-24,,174.22,51114372,-0.015929,4,327446.0,-0.00056
14593,2018-01-25,,171.11,41528087,-0.017851,4,295576.0,0.000603
14593,2018-01-26,,171.50999,39142861,0.002338,4,246243.0,0.011841
14593,2018-01-29,,167.96001,50649512,-0.020698,4,340164.0,-0.006732
14593,2018-01-30,,166.97,46054075,-0.005894,4,340465.0,-0.010899
14593,2018-01-31,,167.42999,32480017,0.002755,4,227613.0,0.000489
14593,2018-02-01,,167.78,47231571,0.00209,4,313108.0,-0.000648
14593,2018-02-02,,160.5,86594027,-0.04339,4,607036.0,-0.021209
14593,2018-02-05,,156.49001,72762180,-0.024984,4,534682.0,-0.040979
14593,2018-02-06,,163.03,68243731,0.041792,4,515898.0,0.017441
14593,2018-02-07,,159.53999,52358204,-0.021407,4,343892.0,-0.005002
14593,2018-02-08,,155.14999,56390381,-0.027517,4,367764.0,-0.037536
14593,2018-02-09,0.63,156.41,71499574,0.012182,4,445435.0,0.014936
14593,2018-02-12,,162.71001,61819638,0.040279,4,365371.0,0.013915
14593,2018-02-13,,164.34,32567631,0.010018,4,220841.0,0.002613
14593,2018-02-14,,167.37,40644933,0.018437,4,272375.0,0.013402
14593,2018-02-15,,172.99001,51206372,0.033578,4,334913.0,0.012069
14593,2018-02-16,,172.42999,40176067,-0.003237,4,258333.0,0.000373
14593,2018-02-20,,171.85001,33932378,-0.003364,4,236482.0,-0.005841
14593,2018-02-21,,171.07001,37472728,-0.004539,4,248128.0,-0.005497
14593,2018-02-22,,172.5,31010840,0.008359,4,215337.0,0.000974
14593,2018-02-23,,175.5,33812360,0.017391,4,216962.0,0.016028
14593,2018-02-26,,178.97,38172285,0.019772,4,252729.0,0.011757
14593,2018-02-27,,178.39,38935123,-0.003241,4,261563.0,-0.012707
14593,2018-02-28,,178.12,37782135,-0.001514,4,197601.0,-0.011096
14593,2018-03-01,,175.0,48802761,-0.017516,4,346994.0,-0.013324
14593,2018-03-02,,176.21001,38453839,0.006914,4,251512.0,0.005072
14593,2018-03-05,,176.82001,28406363,0.003462,4,185559.0,0.011032
14593,2018-03-06,,176.67,23795179,-0.000848,4,169114.0,0.002639
14593,2018-03-07,,175.03,31703462,-0.009283,4,208231.0,-0.000484
14593,2018-03-08,,176.94,23776107,0.010912,4,157903.0,0.004463
14593,2018-03-09,,179.98,32185714,0.017181,4,206371.0,0.017379
14593,2018-03-12,,181.72,32207081,0.009668,4,199182.0,-0.001274
14593,2018-03-13,,179.97,31692529,-0.00963,4,218689.0,-0.006364
14593,2018-03-14,,178.44,29359877,-0.008501,4,213239.0,-0.005724
