stock_id,date,dividend_cash_amount,price,volume,return_daily,cumulative_price_adjustment_factor,number_of_trades_daily,SP_composite_return_daily
19788,2020-09-30,,9.5,338584433,-0.007058,1,,0.008254
19788,2020-10-01,,9.46,124297587,-0.004211,1,,0.005293
19788,2020-10-02,,9.2,55018343,-0.027484,1,,-0.009572
19788,2020-10-05,,9.03,36316878,-0.018478,1,,0.017976
19788,2020-10-06,,9.9,90864039,0.096346,1,,-0.013988
19788,2020-10-07,,10.0,54672419,0.010101,1,,0.017406
19788,2020-10-08,,10.0,34989186,0.0,1,,0.008007
19788,2020-10-09,,9.95,19653450,-0.005,1,,0.008791
19788,2020-10-12,,9.89,20623565,-0.00603,1,,0.016419
19788,2020-10-13,,9.47,21847177,-0.042467,1,,-0.006307
19788,2020-10-14,,9.34,13785097,-0.013728,1,,-0.006623
19788,2020-10-15,,9.91,12924093,0.061028,1,,-0.001528
19788,2020-10-16,,9.71,11142464,-0.020182,1,,0.000135
19788,2020-10-19,,9.57,9126352,-0.014418,1,,-0.01633
19788,2020-10-20,,9.27,11138223,-0.031348,1,,0.004727
19788,2020-10-21,,9.2,9189978,-0.007551,1,,-0.002196
19788,2020-10-22,,9.68,17928578,0.052174,1,,0.005219
19788,2020-10-23,,9.49,12618010,-0.019628,1,,0.003446
19788,2020-10-26,,9.95,23767344,0.048472,1,,-0.01859
19788,2020-10-27,,10.95,53695925,0.100503,1,,-0.003026
19788,2020-10-28,,10.85,30941720,-0.009132,1,,-0.035288
19788,2020-10-29,,10.75,20515706,-0.009217,1,,0.011947
19788,2020-10-30,,10.13,19728372,-0.057674,1,,-0.01213
19788,2020-11-02,,10.54,11677845,0.040474,1,,0.012318
19788,2020-11-03,,10.5,21652807,-0.003795,1,,0.017799
19788,2020-11-04,,10.72,15783356,0.020952,1,,0.022047
19788,2020-11-05,,11.88,48560380,0.108209,1,,0.01946
19788,2020-11-06,,13.83,89977555,0.164141,1,,-0.000288
19788,2020-11-09,,14.67,60098963,0.060738,1,,0.0117
19788,2020-11-10,,14.0,38078742,-0.045671,1,,-0.0014
19788,2020-11-11,,15.96,47027940,0.14,1,,0.007652
19788,2020-11-12,,14.58,99287571,-0.086466,1,,-0.009979
19788,2020-11-13,,15.8,76622565,0.083676,1,,0.01361
19788,2020-11-16,,15.93,65325988,0.008228,1,,0.011648
19788,2020-11-17,,17.85,116618543,0.120527,1,,-0.004792
19788,2020-11-18,,17.9,89957892,0.002801,1,,-0.011564
19788,2020-11-19,,18.98,56225400,0.060335,1,,0.003946
19788,2020-11-20,,18.15,72103988,-0.04373,1,,-0.006793
19788,2020-11-23,,21.04,84716298,0.159229,1,,0.005636
19788,2020-11-24,,23.82,115468825,0.132129,1,,0.016162
19788,2020-11-25,,29.05,202563731,0.219563,1,,-0.001584
