stock_id,date,dividend_cash_amount,price,volume,return_daily,cumulative_price_adjustment_factor,number_of_trades_daily,SP_composite_return_daily
84788,2017-12-29,,1169.46997,2738400,-0.014021,20,47101.0,-0.005183
84788,2018-01-02,,1189.01001,2694494,0.016708,20,55963.0,0.008303
84788,2018-01-03,,1204.19995,3108793,0.012775,20,63070.0,0.006399
84788,2018-01-04,,1209.58997,3022089,0.004476,20,61958.0,0.004029
84788,2018-01-05,,1229.14001,3544743,0.016163,20,66271.0,0.007034
84788,2018-01-08,,1246.87,4279475,0.014425,20,81153.0,0.001662
84788,2018-01-09,,1252.69995,3661316,0.004676,20,74287.0,0.001303
84788,2018-01-10,,1254.32996,2686662,0.001301,20,53895.0,-0.001112
84788,2018-01-11,,1276.68005,3125048,0.017818,20,62195.0,0.007034
84788,2018-01-12,,1305.19995,5443830,0.022339,20,96978.0,0.00675
84788,2018-01-16,,1304.85999,7220805,-0.00026,20,141394.0,-0.003524
84788,2018-01-17,,1295.0,5253782,-0.007556,20,102406.0,0.009415
84788,2018-01-18,,1293.31995,4026915,-0.001297,20,72091.0,-0.001616
84788,2018-01-19,,1294.57996,4579334,0.000974,20,74042.0,0.004385
84788,2018-01-22,,1327.31006,4140061,0.025282,20,76736.0,0.008067
84788,2018-01-23,,1362.54004,5219306,0.026542,20,95984.0,0.002174
84788,2018-01-24,,1357.51001,6808045,-0.003692,20,120574.0,-0.00056
84788,2018-01-25,,1377.94995,4753026,0.015057,20,90943.0,0.000603
84788,2018-01-26,,1402.05005,4857498,0.01749,20,98051.0,0.011841
84788,2018-01-29,,1417.68005,5702059,0.011148,20,118272.0,-0.006732
84788,2018-01-30,,1437.81995,5871996,0.014206,20,122501.0,-0.010899
84788,2018-01-31,,1450.89001,6425215,0.00909,20,137632.0,0.000489
84788,2018-02-01,,1390.0,9114732,-0.041967,20,216269.0,-0.000648
84788,2018-02-02,,1429.94995,11127102,0.028741,20,220966.0,-0.021209
84788,2018-02-05,,1390.0,11494322,-0.027938,20,258438.0,-0.040979
84788,2018-02-06,,1442.83997,11067849,0.038014,20,254148.0,0.017441
84788,2018-02-07,,1416.78003,7162759,-0.018062,20,154460.0,-0.005002
84788,2018-02-08,,1350.5,8778677,-0.046782,20,197706.0,-0.037536
84788,2018-02-09,,1339.59998,14141795,-0.008071,20,309071.0,0.014936
84788,2018-02-12,,1386.22998,6739042,0.034809,20,139793.0,0.013915
84788,2018-02-13,,1414.51001,5918068,0.020401,20,112883.0,0.002613
84788,2018-02-14,,1451.05005,5959195,0.025832,20,120919.0,0.013402
84788,2018-02-15,,1461.76001,5652710,0.007381,20,116107.0,0.012069
84788,2018-02-16,,1448.68994,4472599,-0.008941,20,90070.0,0.000373
84788,2018-02-20,,1468.34998,6499287,0.013571,20,126200.0,-0.005841
84788,2018-02-21,,1482.92004,6304351,0.009923,20,131753.0,-0.005497
84788,2018-02-22,,1485.33997,4858713,0.001632,20,104319.0,0.000974
84788,2018-02-23,,1500.0,4418203,0.00987,20,85795.0,0.016028
84788,2018-02-26,,1521.94995,4955011,0.014633,20,99220.0,0.011757
84788,2018-02-27,,1511.97998,4809629,-0.006551,20,104986.0,-0.012707
84788,2018-02-28,,1512.44995,4515133,0.000311,20,88455.0,-0.011096
84788,2018-03-01,,1493.44995,6835633,-0.012562,20,154290.0,-0.013324
84788,2018-03-02,,1500.25,6589664,0.004553,20,130813.0,0.005072
84788,2018-03-05,,1523.60999,5233934,0.015571,20,103263.0,0.011032
84788,2018-03-06,,1537.64001,4561718,0.009208,20,93790.0,0.002639
84788,2018-03-07,,1545.0,4174123,0.004787,20,87088.0,-0.000484
84788,2018-03-08,,1551.85999,3862617,0.00444,20,75265.0,0.004463
84788,2018-03-09,,1578.89001,4535600,0.017418,20,91661.0,0.017379
84788,2018-03-12,,1598.39001,5174211,0.01235,20,104109.0,-0.001274
84788,2018-03-13,,1588.18005,6532152,-0.006388,20,138582.0,-0.006364
84788,2018-03-14,,1591.0,4259444,0.001776,20,93622.0,-0.005724
84788,2018-03-15,,1582.31995,4069452,-0.005456,20,88560.0,-0.000782
84788,2018-03-16,,1571.68005,5425846,-0.006724,20,85915.0,0.001703
84788,2018-03-19,,1544.93005,6581016,-0.01702,20,146254.0,-0.014204
84788,2018-03-20,,1586.51001,4580073,0.026914,20,100537.0,0.001482
84788,2018-03-21,,1581.85999,4750771,-0.002931,20,95180.0,-0.001844
84788,2018-03-22,,1544.92004,6320575,-0.023352,20,129837.0,-0.025163
84788,2018-03-23,,1495.56006,8005783,-0.03195,20,183305.0,-0.020967
84788,2018-03-26,,1555.85999,5623903,0.040319,20,126516.0,0.027157
84788,2018-03-27,,1497.05005,6999679,-0.037799,20,159521.0,-0.017276
84788,2018-03-28,,1431.42004,13704402,-0.04384,20,332857.0,-0.002917
84788,2018-03-29,,1447.33997,12579263,0.011122,20,264342.0,0.01377
84788,2018-04-02,,1371.98999,10462807,-0.052061,20,252891.0,-0.022337
84788,2018-04-03,,1392.05005,10229718,0.014621,20,217057.0,0.012615
84788,2018-04-04,,1410.56995,6980978,0.013304,20,150457.0,0.011566
84788,2018-04-05,,1451.75,6410909,0.029194,20,132743.0,0.006863
84788,2018-04-06,,1405.22998,5880769,-0.032044,20,125674.0,-0.02192
84788,2018-04-09,,1406.07996,4206906,0.000605,20,92461.0,0.003337
84788,2018-04-10,,1436.21997,4351744,0.021435,20,84783.0,0.016727
84788,2018-04-11,,1427.05005,3582345,-0.006385,20,76301.0,-0.005525
84788,2018-04-12,,1448.5,3134677,0.015031,20,66667.0,0.008251
84788,2018-04-13,,1430.79004,3684467,-0.012226,20,77928.0,-0.002887
84788,2018-04-16,,1441.5,2807924,0.007485,20,66351.0,0.008109
84788,2018-04-17,,1503.82996,5280137,0.04324,20,106180.0,0.010662
84788,2018-04-18,,1527.83997,5227599,0.015966,20,109658.0,0.000831
84788,2018-04-19,,1556.91003,6521225,0.019027,20,131027.0,-0.005726
84788,2018-04-20,,1527.48999,5538122,-0.018896,20,115292.0,-0.008537
84788,2018-04-23,,1517.85999,4465224,-0.006304,20,94042.0,5.6e-05
84788,2018-04-24,,1460.08997,7492599,-0.03806,20,159771.0,-0.013381
84788,2018-04-25,,1460.17004,6581415,5.5e-05,20,138198.0,0.001837
84788,2018-04-26,,1517.95996,8832882,0.039578,20,205903.0,0.010434
84788,2018-04-27,,1572.62,13050042,0.036009,20,284107.0,0.001114
84788,2018-04-30,,1566.13,5463085,-0.004127,20,110985.0,-0.008188
84788,2018-05-01,,1582.26001,4570571,0.010299,20,92317.0,0.002549
84788,2018-05-02,,1569.68005,4360073,-0.007951,20,90651.0,-0.007206
84788,2018-05-03,,1572.07495,4251517,0.001526,20,94744.0,-0.002254
84788,2018-05-04,,1580.94995,3443067,0.005645,20,77090.0,0.012811
84788,2018-05-07,,1600.14001,3801755,0.012138,20,86565.0,0.003458
84788,2018-05-08,,1592.39001,3069149,-0.004843,20,68829.0,-0.000266
84788,2018-05-09,,1608.0,3641497,0.009803,20,76303.0,0.009682
84788,2018-05-10,,1609.07996,2817252,0.000672,20,66482.0,0.009371
84788,2018-05-11,,1602.91003,2263508,-0.003834,20,51938.0,0.001708
84788,2018-05-14,,1601.54004,2509494,-0.000855,20,54236.0,0.000884
84788,2018-05-15,,1576.12,5075465,-0.015872,20,112971.0,-0.006842
84788,2018-05-16,,1587.28003,2570272,0.007081,20,57842.0,0.004061
84788,2018-05-17,,1581.76001,2146606,-0.003478,20,61112.0,-0.000856
84788,2018-05-18,,1574.37,2642084,-0.004672,20,54040.0,-0.002632
84788,2018-05-21,,1585.45996,2925235,0.007044,20,56733.0,0.007387
84788,2018-05-22,,1581.40002,2115439,-0.002561,20,48335.0,-0.003136
84788,2018-05-23,,1601.85999,3361494,0.012938,20,79616.0,0.003248
84788,2018-05-24,,1603.06995,3429575,0.000755,20,74578.0,-0.002023
84788,2018-05-25,,1610.15002,2719700,0.004417,20,66583.0,-0.002357
84788,2018-05-29,,1612.87,3858445,0.001689,20,89110.0,-0.011564
84788,2018-05-30,,1624.89001,2906533,0.007453,20,66248.0,0.012696
84788,2018-05-31,,1629.62,3165730,0.002911,20,71223.0,-0.00688
84788,2018-06-01,,1641.54004,3313192,0.007315,20,81826.0,0.010849
84788,2018-06-04,,1665.27002,3216693,0.014456,20,82663.0,0.00448
84788,2018-06-05,,1696.34998,4781491,0.018664,20,115688.0,0.000703
84788,2018-06-06,,1695.75,5471913,-0.000354,20,122416.0,0.008567
84788,2018-06-07,,1689.30005,3763887,-0.003804,20,93439.0,-0.000714
84788,2018-06-08,,1683.98999,2954130,-0.003143,20,66920.0,0.003126
84788,2018-06-11,,1689.12,2334584,0.003046,20,57687.0,0.001069
84788,2018-06-12,,1698.75,2258715,0.005701,20,53609.0,0.001743
84788,2018-06-13,,1704.85999,3326534,0.003597,20,79528.0,-0.004026
84788,2018-06-14,,1723.85999,3173615,0.011145,20,78661.0,0.002472
84788,2018-06-15,,1715.96997,4776755,-0.004577,20,83134.0,-0.001017
84788,2018-06-18,,1723.79004,3107336,0.004557,20,70226.0,-0.002126
84788,2018-06-19,,1734.78003,4379320,0.006375,20,98668.0,-0.004023
84788,2018-06-20,,1750.07996,4331191,0.00882,20,101245.0,0.001712
84788,2018-06-21,,1730.21997,4939948,-0.011348,20,126728.0,-0.006345
84788,2018-06-22,,1715.67004,4074324,-0.008409,20,86789.0,0.001862
84788,2018-06-25,,1663.15002,7507866,-0.030612,20,209690.0,-0.013725
84788,2018-06-26,,1691.08997,4382467,0.016799,20,107871.0,0.002205
84788,2018-06-27,,1660.51001,4867726,-0.018083,20,123744.0,-0.008604
84788,2018-06-28,,1701.44995,4524018,0.024655,20,116108.0,0.006179
84788,2018-06-29,,1699.80005,4536074,-0.00097,20,106436.0,0.000758
